school_code,school_name,location,city,school_nature,school_level,is985,is211,is_double_first,description
10323,淮阴师范学院,淮安,淮安市,公办,本科,0,0,0,淮阴师范学院是教育部公布的普通高等学校（本科），位于淮安·淮安市。
14325,南方科技大学,深圳,深圳市,公办,本科,0,0,0,南方科技大学是教育部公布的普通高等学校（本科），位于深圳·深圳市。
16409,深圳北理莫斯科大学,深圳,深圳市,公办,本科,0,0,0,深圳北理莫斯科大学是教育部公布的普通高等学校（本科），位于深圳·深圳市。
10590,深圳大学,深圳,深圳市,公办,本科,0,0,0,深圳大学是教育部公布的普通高等学校（本科），位于深圳·深圳市。
16407,香港中文大学（深圳）,深圳,深圳市,公办,本科,0,0,0,香港中文大学（深圳）是教育部公布的普通高等学校（本科），位于深圳·深圳市。
10343,温州医科大学,温州,温州市,公办,本科,0,0,0,温州医科大学是教育部公布的普通高等学校（本科），位于温州·温州市。
13284,温州医科大学仁济学院,温州,温州市,民办,本科,0,0,0,温州医科大学仁济学院是教育部公布的普通高等学校（本科），位于温州·温州市。
13637,温州商学院,温州,温州市,民办,本科,0,0,0,温州商学院是教育部公布的普通高等学校（本科），位于温州·温州市。
10351,温州大学,温州,温州市,公办,本科,0,0,0,温州大学是教育部公布的普通高等学校（本科），位于温州·温州市。
13289,温州大学瓯江学院,温州,温州市,民办,本科,0,0,0,温州大学瓯江学院是教育部公布的普通高等学校（本科），位于温州·温州市。
16405,温州肯恩大学,温州,温州市,公办,本科,0,0,0,温州肯恩大学是教育部公布的普通高等学校（本科），位于温州·温州市。
10723,渭南师范学院,渭南,渭南市,公办,本科,0,0,0,渭南师范学院是教育部公布的普通高等学校（本科），位于渭南·渭南市。
10347,湖州师范学院,湖州,湖州市,公办,本科,0,0,0,湖州师范学院是教育部公布的普通高等学校（本科），位于湖州·湖州市。
13287,湖州师范学院求真学院,湖州,湖州市,民办,本科,0,0,0,湖州师范学院求真学院是教育部公布的普通高等学校（本科），位于湖州·湖州市。
11342,湖南工程学院,湘潭,湘潭市,公办,本科,0,0,0,湖南工程学院是教育部公布的普通高等学校（本科），位于湘潭·湘潭市。
12660,湖南工程学院应用技术学院,湘潭,湘潭市,民办,本科,0,0,0,湖南工程学院应用技术学院是教育部公布的普通高等学校（本科），位于湘潭·湘潭市。
10534,湖南科技大学,湘潭,湘潭市,公办,本科,0,0,0,湖南科技大学是教育部公布的普通高等学校（本科），位于湘潭·湘潭市。
12649,湖南科技大学潇湘学院,湘潭,湘潭市,民办,本科,0,0,0,湖南科技大学潇湘学院是教育部公布的普通高等学校（本科），位于湘潭·湘潭市。
10530,湘潭大学,湘潭,湘潭市,公办,本科,0,0,0,湘潭大学是教育部公布的普通高等学校（本科），位于湘潭·湘潭市。
12599,湘潭大学兴湘学院,湘潭,湘潭市,民办,本科,0,0,0,湘潭大学兴湘学院是教育部公布的普通高等学校（本科），位于湘潭·湘潭市。
10531,吉首大学,湘西土家族苗族自治州,湘西土家族苗族自治州,公办,本科,0,0,0,吉首大学是教育部公布的普通高等学校（本科），位于湘西土家族苗族自治州·湘西土家族苗族自治州。
10579,岭南师范学院,湛江,湛江市,公办,本科,0,0,0,岭南师范学院是教育部公布的普通高等学校（本科），位于湛江·湛江市。
10571,广东医科大学,湛江,湛江市,公办,本科,0,0,0,广东医科大学是教育部公布的普通高等学校（本科），位于湛江·湛江市。
10566,广东海洋大学,湛江,湛江市,公办,本科,0,0,0,广东海洋大学是教育部公布的普通高等学校（本科），位于湛江·湛江市。
12622,广东海洋大学寸金学院,湛江,湛江市,民办,本科,0,0,0,广东海洋大学寸金学院是教育部公布的普通高等学校（本科），位于湛江·湛江市。
10879,安徽科技学院,滁州,滁州市,公办,本科,0,0,0,安徽科技学院是教育部公布的普通高等学校（本科），位于滁州·滁州市。
10377,滁州学院,滁州,滁州市,公办,本科,0,0,0,滁州学院是教育部公布的普通高等学校（本科），位于滁州·滁州市。
10440,滨州医学院,滨州,滨州市,公办,本科,0,0,0,滨州医学院是教育部公布的普通高等学校（本科），位于滨州·滨州市。
10449,滨州学院,滨州,滨州市,公办,本科,0,0,0,滨州学院是教育部公布的普通高等学校（本科），位于滨州·滨州市。
13469,厦门大学嘉庚学院,漳州,漳州市,民办,本科,0,0,0,厦门大学嘉庚学院是教育部公布的普通高等学校（本科），位于漳州·漳州市。
10402,闽南师范大学,漳州,漳州市,公办,本科,0,0,0,闽南师范大学是教育部公布的普通高等学校（本科），位于漳州·漳州市。
10438,潍坊医学院,潍坊,潍坊市,公办,本科,0,0,0,潍坊医学院是教育部公布的普通高等学校（本科），位于潍坊·潍坊市。
